0,0,8neNUGpI4N73H4k/mANeGhpU9Hk=,GkTIuuSvIYsiyp4046JdJHtMFGA=
0,1,8neNUGpI4N73H4k/mANeGhpU9Hk=,GkTIuuSvIYsiyp4046JdJHtMFGA=
0,2,8neNUGpI4N73H4k/mANeGhpU9Hk=,GkTIuuSvIYsiyp4046JdJHtMFGA=
0,3,8neNUGpI4N73H4k/mANeGhpU9Hk=,fJ632vyu9xLeZatkufxEfPWww/I=
1,1,8neNUGpI4N73H4k/mANeGhpU9Hk=,Zc6JBcV+pakcwQW1qW5UTlLx/jQ=
1,0,8neNUGpI4N73H4k/mANeGhpU9Hk=,vzIG7HVJ4/+mHdcsMrW8Ryslvvg=
1,3,Z/mM6qEdwi/S5F0kX0Vjia80+7A=,AAQuleBUImjsqeJlYErvEJoqsFs=
1,2,Z/mM6qEdwi/S5F0kX0Vjia80+7A=,vzIG7HVJ4/+mHdcsMrW8Ryslvvg=
2,2,Z/mM6qEdwi/S5F0kX0Vjia80+7A=,79LeQtQ1Pfyz4lhVFcus+ZgpezY=
2,0,Z/mM6qEdwi/S5F0kX0Vjia80+7A=,K5Lz9NN3FOWlrTdo+y+mRPE/ZFc=
2,1,Z/mM6qEdwi/S5F0kX0Vjia80+7A=,K5Lz9NN3FOWlrTdo+y+mRPE/ZFc=
3,2,Z/mM6qEdwi/S5F0kX0Vjia80+7A=,pRjkrkIrA7gLWdGShA0IxcL4UV8=
3,1,Z/mM6qEdwi/S5F0kX0Vjia80+7A=,SD6EyMddyL2B4rxoChvGQgnUUz4=
3,3,Z/mM6qEdwi/S5F0kX0Vjia80+7A=,cW2neVoABErgJ7t4BZRuERJkD/c=
4,1,Z/mM6qEdwi/S5F0kX0Vjia80+7A=,SD6EyMddyL2B4rxoChvGQgnUUz4=
4,2,Z/mM6qEdwi/S5F0kX0Vjia80+7A=,YOIq+HYbthkKvS9BT0f+/ZsgEbw=
4,3,Z/mM6qEdwi/S5F0kX0Vjia80+7A=,AD3GGq8i86+SFkfi+35+eXs/pXU=
4,4,Z/mM6qEdwi/S5F0kX0Vjia80+7A=,cW2neVoABErgJ7t4BZRuERJkD/c=
5,4,Z/mM6qEdwi/S5F0kX0Vjia80+7A=,zTIr18jt/yu1ToJayWm5fgCFi9o=
5,3,Z/mM6qEdwi/S5F0kX0Vjia80+7A=,Y8kuRKHO8ItKceDrVrtfmK2rBmw=
